Vertical,valid_from,valid_to,ally_name,policy_name,use_pre_approved_cupo,pd_model_multiplier,pd_model,pd_model_fallback,other_pd_models_to_run,secondary_policy_name,secondary_pd_model,PD_Multiplier_ally,Hardcoded_policy,SMB,,,,,,,,
SPORTS AND ACCESSORIES,,,bikehouse-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikehousemanizales-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikener-online,rejection_policy_pago,FALSE,8,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikersparadise-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,bikeshopmanizales-online,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,blueplanetelectronics-ecommerce,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
HOME APPLIANCES,,,blueplanetelectronics-online,rejection_policy_pago,FALSE,10,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
HOME APPLIANCES,,,bpubusinness-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,bpuhome-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,brandingshoes-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,brujuladigital-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
FURNITURE,,,burica-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,cafedevotion-online,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
APPAREL,,,cardenasfortich-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,casaandina-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,casadeapple-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,cascoloco-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,cascoloco-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,cellplanet-online,rejection_policy_pago,FALSE,13,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celltronic-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,-,,,,#N/A,,
TECH/ELECTRONICS,,,celuboyaca-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celucambio-ecommerce,addipago_tightening_policy,FALSE,1.95,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,addipago_tightening_policy,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celucambioonline,addipago_tightening_policy,FALSE,1.95,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,addipago_tightening_policy,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celufacil-online,rejection_policy_pago,FALSE,3.25,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,2.5,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celularesfenix-online,rejection_policy_pago,FALSE,1.95,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celularexpress-online,rejection_policy_pago,FALSE,1.95,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,rejection_policy_pago,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celumaniadye-online,addipago_tightening_policy,FALSE,2.34,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.8,addipago_tightening_policy,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celumatch-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celumovilstore-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celusmart-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,celuventascolombiasas-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,cemex-acerosycontrucciones-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME APPLIANCES,,,cemex-constructorcaribe-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,cemex-ferregalan-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,cemex-ferreguali-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,cemex-guali-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,cemex-launica-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,centerphone-online,rejection_policy_pago,FALSE,1.95,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,rejection_policy_pago,-,0,,,,,12,,
SPORTS AND ACCESSORIES,,,centurybikesas-ecommerce,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,centurybikesas-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,ceramia-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,KA,0,,,,,#N/A,,
HOME IMPROVEMENT,,,ceramicaitaliaonline,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,ceramicasdelvalle-online,addipago_interest_policy_standard_PLA_FO,FALSE,1.5,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME APPLIANCES,,,chocolatecorona-ecommerces,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,cicloespinal-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,ciclojapon-ecommerce,rejection_policy_pago,FALSE,8,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,ciclojapon-online,rejection_policy_pago,FALSE,8,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,10,rejection_policy_pago,-,0,,,,,#N/A,,
AUTO-PARTS,,,cktgloballiebrenaranja-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,cktgloballiebrenaranja-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,cktglobalsegway-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,cktglobalsegway-online,addipago_interest_policy_standard_PLA_FO,FALSE,1,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TELECOMMUNICATIONS,,,claro-ecommerce,addipago_interest_policy_standard_PLA_FO,FALSE,1.3,ADDI_PAGO_PD2_AT_ORIGINATION_V1,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,40,,
